[shard 10] 0/70000000 seeds, 1 converged
[shard 10] 2000/70000000 seeds, 2001 converged
[shard 10] 4000/70000000 seeds, 4001 converged
[shard 10] 6000/70000000 seeds, 6001 converged
[shard 10] 8000/70000000 seeds, 8001 converged
[shard 10] 10000/70000000 seeds, 10001 converged
[shard 10] 12000/70000000 seeds, 12001 converged
[shard 10] 14000/70000000 seeds, 14001 converged
[shard 10] 16000/70000000 seeds, 16001 converged
[shard 10] 18000/70000000 seeds, 18001 converged
[shard 10] 20000/70000000 seeds, 20001 converged
[shard 10] 22000/70000000 seeds, 22001 converged
[shard 10] 24000/70000000 seeds, 24001 converged
[shard 10] 26000/70000000 seeds, 26001 converged
[shard 10] 28000/70000000 seeds, 28001 converged
[shard 10] 30000/70000000 seeds, 30001 converged
[shard 10] 32000/70000000 seeds, 32001 converged
[shard 10] 34000/70000000 seeds, 34001 converged
[shard 10] 36000/70000000 seeds, 36001 converged
[shard 10] 38000/70000000 seeds, 38001 converged
[shard 10] 40000/70000000 seeds, 40001 converged
[shard 10] 42000/70000000 seeds, 42001 converged
[shard 10] 44000/70000000 seeds, 44001 converged
[shard 10] 46000/70000000 seeds, 46001 converged
[shard 10] 48000/70000000 seeds, 48001 converged
[shard 10] 50000/70000000 seeds, 50001 converged
[shard 10] 52000/70000000 seeds, 52001 converged
[shard 10] 54000/70000000 seeds, 54001 converged
[shard 10] 56000/70000000 seeds, 56001 converged
[shard 10] 58000/70000000 seeds, 58001 converged
[shard 10] 60000/70000000 seeds, 60001 converged
[shard 10] 62000/70000000 seeds, 62001 converged
[shard 10] 64000/70000000 seeds, 64001 converged
[shard 10] 66000/70000000 seeds, 66001 converged
[shard 10] 68000/70000000 seeds, 68001 converged
[shard 10] 70000/70000000 seeds, 70001 converged
[shard 10] 72000/70000000 seeds, 72001 converged
[shard 10] 74000/70000000 seeds, 74001 converged
[shard 10] 76000/70000000 seeds, 76001 converged
[shard 10] 78000/70000000 seeds, 78001 converged
[shard 10] 80000/70000000 seeds, 80001 converged
[shard 10] 82000/70000000 seeds, 82001 converged
[shard 10] 84000/70000000 seeds, 84001 converged
[shard 10] 86000/70000000 seeds, 86001 converged
[shard 10] 88000/70000000 seeds, 88001 converged
[shard 10] 90000/70000000 seeds, 90001 converged
[shard 10] 92000/70000000 seeds, 92001 converged
[shard 10] 94000/70000000 seeds, 94001 converged
[shard 10] 96000/70000000 seeds, 96001 converged
[shard 10] 98000/70000000 seeds, 98001 converged
[shard 10] 100000/70000000 seeds, 100001 converged
[shard 10] 102000/70000000 seeds, 102001 converged
[shard 10] 104000/70000000 seeds, 104001 converged
[shard 10] 106000/70000000 seeds, 106001 converged
[shard 10] 108000/70000000 seeds, 108001 converged
[shard 10] 110000/70000000 seeds, 110001 converged
[shard 10] 112000/70000000 seeds, 112001 converged
[shard 10] 114000/70000000 seeds, 114001 converged
[shard 10] 116000/70000000 seeds, 116001 converged
[shard 10] 118000/70000000 seeds, 118001 converged
[shard 10] 120000/70000000 seeds, 120001 converged
[shard 10] 122000/70000000 seeds, 122001 converged
[shard 10] 124000/70000000 seeds, 124001 converged
[shard 10] 126000/70000000 seeds, 126001 converged
[shard 10] 128000/70000000 seeds, 128001 converged
[shard 10] 130000/70000000 seeds, 130001 converged
[shard 10] 132000/70000000 seeds, 132001 converged
[shard 10] 134000/70000000 seeds, 134001 converged
[shard 10] 136000/70000000 seeds, 136001 converged
[shard 10] 138000/70000000 seeds, 138001 converged
[shard 10] 140000/70000000 seeds, 140001 converged
[shard 10] 142000/70000000 seeds, 142001 converged
[shard 10] 144000/70000000 seeds, 144001 converged
[shard 10] 146000/70000000 seeds, 146001 converged
[shard 10] 148000/70000000 seeds, 148001 converged
[shard 10] 150000/70000000 seeds, 150001 converged
[shard 10] 152000/70000000 seeds, 152001 converged
[shard 10] 154000/70000000 seeds, 154001 converged
[shard 10] 156000/70000000 seeds, 156001 converged
[shard 10] 158000/70000000 seeds, 158001 converged
[shard 10] 160000/70000000 seeds, 160001 converged
[shard 10] 162000/70000000 seeds, 162001 converged
[shard 10] 164000/70000000 seeds, 164001 converged
[shard 10] 166000/70000000 seeds, 166001 converged
[shard 10] 168000/70000000 seeds, 168001 converged
[shard 10] 170000/70000000 seeds, 170001 converged
[shard 10] 172000/70000000 seeds, 172001 converged
[shard 10] 174000/70000000 seeds, 174001 converged
[shard 10] 176000/70000000 seeds, 176001 converged
[shard 10] 178000/70000000 seeds, 178001 converged
[shard 10] 180000/70000000 seeds, 180001 converged
[shard 10] 182000/70000000 seeds, 182001 converged
[shard 10] 184000/70000000 seeds, 184001 converged
[shard 10] 186000/70000000 seeds, 186001 converged
[shard 10] 188000/70000000 seeds, 188001 converged
[shard 10] 190000/70000000 seeds, 190001 converged
[shard 10] 192000/70000000 seeds, 192001 converged
[shard 10] 194000/70000000 seeds, 194001 converged
[shard 10] 196000/70000000 seeds, 196001 converged
[shard 10] 198000/70000000 seeds, 198001 converged
[shard 10] 200000/70000000 seeds, 200001 converged
[shard 10] 202000/70000000 seeds, 202001 converged
[shard 10] 204000/70000000 seeds, 204001 converged
[shard 10] 206000/70000000 seeds, 206001 converged
[shard 10] 208000/70000000 seeds, 208001 converged
[shard 10] 210000/70000000 seeds, 210001 converged
[shard 10] 212000/70000000 seeds, 212001 converged
[shard 10] 214000/70000000 seeds, 214001 converged
[shard 10] 216000/70000000 seeds, 216001 converged
[shard 10] 218000/70000000 seeds, 218001 converged
[shard 10] 220000/70000000 seeds, 220001 converged
[shard 10] 222000/70000000 seeds, 222001 converged
[shard 10] 224000/70000000 seeds, 224001 converged
[shard 10] 226000/70000000 seeds, 226001 converged
[shard 10] 228000/70000000 seeds, 228001 converged
[shard 10] 230000/70000000 seeds, 230001 converged
[shard 10] 232000/70000000 seeds, 232001 converged
[shard 10] 234000/70000000 seeds, 234001 converged
[shard 10] 236000/70000000 seeds, 236001 converged
[shard 10] 238000/70000000 seeds, 238001 converged
[shard 10] 240000/70000000 seeds, 240001 converged
[shard 10] 242000/70000000 seeds, 242001 converged
[shard 10] 244000/70000000 seeds, 244001 converged
[shard 10] 246000/70000000 seeds, 246001 converged
[shard 10] 248000/70000000 seeds, 248001 converged
